file,text_id,strategy,error,parse_success
Results/Readability_Results/dataset_with_readability.csv,76,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,76,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,76,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,76,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,77,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,77,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,77,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,77,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,78,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,78,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,78,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,78,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,79,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,79,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,79,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,79,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,80,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,80,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,80,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,80,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,81,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,81,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,81,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,81,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,82,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,82,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,82,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,82,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,83,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,83,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,83,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,83,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,84,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,84,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,84,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,84,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,85,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,85,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,85,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,85,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,86,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,86,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,86,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,86,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,87,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,87,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,87,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,87,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,88,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,88,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,88,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,88,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,89,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,89,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,89,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,89,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,90,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,90,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,90,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,90,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,91,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,91,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,91,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,91,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,92,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,92,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,92,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,92,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,93,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,93,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,93,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,93,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,94,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,94,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,94,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,94,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,95,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,95,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,95,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,95,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,96,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,96,persona1,Connection error.,False
