text_id,kendall_tau,p_value
CT0622,0.3333333333333334,0.75
CT0623,0.6666666666666669,0.3333333333333333
CT0624,1.0,0.08333333333333333
CT0625,0.0,1.0
CT0626,0.6666666666666669,0.3333333333333333
CT0627,0.6666666666666669,0.3333333333333333
CT0628,-0.3333333333333334,0.75
CT0629,0.3333333333333334,0.75
CT0630,0.0,1.0
CT0631,0.0,1.0
CT0632,0.6666666666666669,0.3333333333333333
CT0633,0.3333333333333334,0.75
CT0634,0.3333333333333334,0.75
CT0635,0.0,1.0
CT0636,-1.0,0.08333333333333333
CT0637,0.0,1.0
CT0638,-0.3333333333333334,0.75
CT0639,0.0,1.0
CT0640,-0.3333333333333334,0.75
CT0641,0.3333333333333334,0.75
CT0642,0.6666666666666669,0.3333333333333333
CT0643,0.3333333333333334,0.75
CT0644,0.6666666666666669,0.3333333333333333
CT0645,0.0,1.0
CT0646,0.6666666666666669,0.3333333333333333
CT0647,1.0,0.08333333333333333
CT0648,0.6666666666666669,0.3333333333333333
CT0649,0.0,1.0
CT0650,-0.3333333333333334,0.75
CT0651,-0.3333333333333334,0.75
CT0652,-0.6666666666666669,0.3333333333333333
CT0653,0.6666666666666669,0.3333333333333333
CT0654,1.0,0.08333333333333333
CT0655,0.6666666666666669,0.3333333333333333
CT0656,-0.3333333333333334,0.75
CT0657,0.3333333333333334,0.75
CT0658,-1.0,0.08333333333333333
CT0659,0.0,1.0
CT0660,0.0,1.0
CT0661,0.3333333333333334,0.75
CT0662,0.0,1.0
CT0663,0.6666666666666669,0.3333333333333333
CT0664,-0.3333333333333334,0.75
CT0665,0.3333333333333334,0.75
CT0666,0.3333333333333334,0.75
CT0667,0.3333333333333334,0.75
CT0668,0.6666666666666669,0.3333333333333333
CT0669,0.0,1.0
CT0670,0.6666666666666669,0.3333333333333333
CT0671,0.3333333333333334,0.75
CT0672,0.3333333333333334,0.75
CT0673,0.3333333333333334,0.75
CT0674,0.0,1.0
CT0675,0.6666666666666669,0.3333333333333333
CT0676,0.3333333333333334,0.75
CT0677,0.3333333333333334,0.75
CT0678,0.3333333333333334,0.75
CT0679,0.0,1.0
CT0680,0.6666666666666669,0.3333333333333333
CT0681,1.0,0.08333333333333333
CT0682,0.0,1.0
CT0683,0.6666666666666669,0.3333333333333333
CT0684,0.3333333333333334,0.75
CT0685,0.6666666666666669,0.3333333333333333
CT0686,0.3333333333333334,0.75
CT0687,-0.3333333333333334,0.75
CT0688,0.0,1.0
CT0689,0.6666666666666669,0.3333333333333333
CT0690,-0.3333333333333334,0.75
CT0691,-0.3333333333333334,0.75
CT0692,0.6666666666666669,0.3333333333333333
CT0693,0.6666666666666669,0.3333333333333333
CT0694,-0.6666666666666669,0.3333333333333333
CT0695,0.6666666666666669,0.3333333333333333
CT0696,0.3333333333333334,0.75
CT0697,0.6666666666666669,0.3333333333333333
CT0698,1.0,0.08333333333333333
CT0699,-0.3333333333333334,0.75
